Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9795918367346939,1.0,0.9523809523809523,0.975609756097561
Logistic Regression,0.9591836734693877,0.9523809523809523,0.9523809523809523,0.9523809523809523
Random Forest,0.9591836734693877,0.9523809523809523,0.9523809523809523,0.9523809523809523
Naive Bayes,0.9387755102040817,0.9090909090909091,0.9523809523809523,0.9302325581395349
SVM,0.9387755102040817,0.95,0.9047619047619048,0.926829268292683
KNN,0.9183673469387755,0.9473684210526315,0.8571428571428571,0.9
